date,symbol,entry_price,exit_price,day_high,day_low,open_price,ret_gross_pct,ret_net_pct,max_possible_pct,worst_pct,shares,pnl_rs,pred_score,daily_ret_pct,is_top5_gainer,gap_pct
2026-01-01,ATGL,569.6,591.0,621.0,567.35,567.35,3.76,3.58,9.02,-0.4,87,1858.0,0.9894,4.42,Y,0.24
2026-01-01,SUNTECK,402.2,434.0,435.55,397.1,397.1,7.91,7.73,8.29,-1.27,124,3936.0,0.9746,9.6,Y,0.28
2026-01-01,ADANIPOWER,143.07,148.7,153.16,142.8,143.25,3.94,3.76,7.05,-0.19,349,1961.0,0.9742,4.07,Y,0.25
2026-01-01,BIRLACORPN,1083.7,1109.0,1114.6,1060.0,1060.0,2.33,2.15,2.85,-2.19,46,1162.0,0.9349,4.82,Y,0.19
2026-01-01,BLUEDART,5990.0,5689.0,6039.5,5612.0,5612.0,-5.03,-5.21,0.83,-6.31,8,-2404.0,0.9349,2.88,N,1.48
2026-01-01,ITDC,627.0,610.0,627.95,585.45,591.8,-2.71,-2.89,0.15,-6.63,79,-1341.0,0.9271,4.27,Y,1.16
2026-01-01,AVANTIFEED,852.8,877.4,883.75,833.25,837.55,2.88,2.7,3.63,-2.29,58,1424.0,0.9252,4.93,Y,0.16
2026-01-01,SUPREMEIND,3373.5,3480.0,3499.0,3360.6,3367.0,3.16,2.98,3.72,-0.38,14,1488.0,0.9008,3.37,Y,0.01
2026-01-01,AJANTPHARM,2756.8,2945.2,2962.0,2744.8,2787.6,6.83,6.65,7.44,-0.44,18,3385.0,0.8882,6.17,Y,0.49
2026-01-01,JKLAKSHMI,779.9,791.0,796.0,775.0,782.2,1.42,1.24,2.06,-0.63,64,709.0,0.8686,1.9,N,0.77
2026-01-01,PNBHOUSING,954.5,984.5,998.0,951.55,954.0,3.14,2.96,4.56,-0.31,52,1557.0,0.8637,3.52,Y,0.32
2026-01-01,BAJAJCON,254.5,267.3,268.0,254.05,256.9,5.03,4.85,5.3,-0.18,196,2504.0,0.8603,4.21,Y,0.16
2026-01-01,ASHOKLEY,181.54,185.0,185.56,178.81,179.19,1.91,1.73,2.21,-1.5,275,950.0,0.8523,3.35,Y,0.11
