date,symbol,entry_price,exit_price,gross_return_pct,net_return_pct,model_score,gap_pct,top_5pct
2026-01-01,ATGL,569.6,591.0,3.76,3.58,0.9887,,1
2026-01-01,ADANIPOWER,143.07,148.7,3.94,3.76,0.9807,,1
2026-01-01,BLUEDART,5990.0,5689.0,-5.03,-5.21,0.9448,,0
2026-01-01,ITDC,627.0,610.0,-2.71,-2.89,0.9236,,1
2026-01-01,ZYDUSWELL,471.6,465.5,-1.29,-1.47,0.8991,,0
2026-01-01,PRSMJOHNSN,136.85,138.14,0.94,0.76,0.8976,,0
2026-01-01,AVANTIFEED,852.8,877.4,2.88,2.7,0.8945,,1
2026-01-01,SUNTECK,402.2,434.0,7.91,7.73,0.8942,,1
2026-01-01,VENKEYS,1554.5,1568.0,0.87,0.69,0.8901,,1
2026-01-01,SYMPHONY,883.2,919.0,4.05,3.87,0.8683,,1
2026-01-01,BIRLACORPN,1083.7,1109.0,2.33,2.15,0.8487,,1
2026-01-01,NILKAMAL,1383.7,1400.0,1.18,1.0,0.8388,,0
2026-01-01,SUPREMEIND,3373.5,3480.0,3.16,2.98,0.8241,,1
2026-01-01,ADANIENSOL,1030.4,1049.0,1.81,1.63,0.818,,0
2026-01-01,HFCL,70.03,68.94,-1.56,-1.74,0.781,,0
2026-01-01,TVTODAY,141.2,141.19,-0.01,-0.19,0.7756,,0
2026-01-01,VGUARD,348.2,320.85,-7.85,-8.03,0.7754,,0
2026-01-01,MRPL,151.33,153.25,1.27,1.09,0.7718,,0
2026-01-01,DCAL,250.71,255.7,1.99,1.81,0.7686,,0
2026-01-01,GRANULES,608.2,619.9,1.92,1.74,0.7443,,0
2026-01-02,OLAELEC,38.7,41.0,5.94,5.76,0.9883,,1
2026-01-02,JAMNAAUTO,130.19,132.56,1.82,1.64,0.9683,,1
2026-01-02,TATACAP,344.0,361.4,5.06,4.88,0.9312,,1
2026-01-02,PFC,369.35,375.9,1.77,1.59,0.8915,,0
2026-01-02,RKFORGE,524.2,531.5,1.39,1.21,0.889,,0
2026-01-02,RECLTD,375.9,381.5,1.49,1.31,0.8827,,0
2026-01-02,BOSCHLTD,36620.0,39195.0,7.03,6.85,0.8741,,1
2026-01-02,DABUR,501.75,525.4,4.71,4.53,0.8585,,1
2026-01-02,CREDITACC,1290.0,1287.0,-0.23,-0.41,0.8515,,0
2026-01-02,SANSERA,1806.8,1879.0,4.0,3.82,0.8461,,1
2026-01-02,DEVYANI,153.01,147.2,-3.8,-3.98,0.8285,,0
2026-01-02,NATIONALUM,322.05,329.55,2.33,2.15,0.8257,,1
2026-01-02,MUTHOOTCAP,285.2,280.05,-1.81,-1.99,0.8189,,0
2026-01-02,IIFL,631.25,644.4,2.08,1.9,0.8185,,1
2026-01-02,HEROMOTOCO,6020.0,5931.0,-1.48,-1.66,0.7977,,0
2026-01-02,VOLTAS,1409.0,1429.5,1.45,1.27,0.7747,,0
2026-01-02,PVRINOX,1033.2,1028.0,-0.5,-0.68,0.7702,,0
2026-01-02,IFBIND,1572.3,1595.0,1.44,1.26,0.7671,,0
2026-01-02,GUJGASLTD,424.55,437.0,2.93,2.75,0.7283,,1
2026-01-02,INDIANB,848.85,861.35,1.47,1.29,0.7194,,0
2026-01-05,SJVN,86.99,87.99,1.15,0.97,0.9768,,1
2026-01-05,FINEORG,4286.9,4300.0,0.31,0.13,0.9462,,0
2026-01-05,HINDCOPPER,567.7,552.8,-2.62,-2.8,0.9354,,0
2026-01-05,VMART,731.45,736.5,0.69,0.51,0.9214,,1
2026-01-05,BDL,1509.8,1535.3,1.69,1.51,0.9162,,0
2026-01-05,SANSERA,1890.1,1925.0,1.85,1.67,0.8929,,0
2026-01-05,BEL,409.55,413.35,0.93,0.75,0.8822,,0
2026-01-05,SOLARINDS,12421.0,12730.0,2.49,2.31,0.8767,,1
2026-01-05,HONAUT,34425.0,34025.0,-1.16,-1.34,0.8651,,0
2026-01-05,SOBHA,1527.1,1592.0,4.25,4.07,0.8602,,1
2026-01-05,LODHA,1112.0,1119.5,0.67,0.49,0.8539,,1
2026-01-05,BAJAJCON,269.45,282.0,4.66,4.48,0.8527,,1
2026-01-05,AURIONPRO,1113.0,1111.0,-0.18,-0.36,0.8482,,0
2026-01-05,AMBER,6618.5,6695.0,1.16,0.98,0.8449,,1
2026-01-05,CYIENT,1123.1,1152.0,2.57,2.39,0.8447,,1
2026-01-05,RAMCOCEM,1083.0,1080.0,-0.28,-0.46,0.8412,,0
2026-01-05,GPTINFRA,108.2,111.9,3.42,3.24,0.8387,,1
2026-01-05,CARERATING,1742.0,1737.0,-0.29,-0.47,0.8343,,1
