iter	Logloss
0	0.6232570776
1	0.5615620988
2	0.5099520008
3	0.4685122353
4	0.4279815843
5	0.3951745431
6	0.365834076
7	0.3416664158
8	0.3217610002
9	0.3042927277
10	0.2888046277
11	0.2741176597
12	0.2619382323
13	0.2515905549
14	0.2428924292
15	0.2342600346
16	0.2272994708
17	0.2216616725
18	0.2167758523
19	0.2124560307
20	0.2078499546
21	0.2044519432
22	0.2009697207
23	0.198227044
24	0.1958359455
25	0.1934272724
26	0.1911340487
27	0.1893011329
28	0.1879024718
29	0.1865063967
30	0.1850616843
31	0.1837449741
32	0.1826643964
33	0.1816344802
34	0.1809718808
35	0.18009079
36	0.1793247443
37	0.1787429066
38	0.1782723672
39	0.1777150891
40	0.1773077497
41	0.1768518134
42	0.1763888199
43	0.1760293002
44	0.1756374991
45	0.1752816418
46	0.1749787593
47	0.1746419545
48	0.1743468305
49	0.1741894892
50	0.1740297047
51	0.1738255382
52	0.1735950993
53	0.173451997
54	0.173253403
55	0.1730739987
56	0.1728660624
57	0.1727525601
58	0.1726193286
59	0.1724865317
60	0.1723823988
61	0.1722444117
62	0.1721623483
63	0.1720392686
64	0.1718801006
65	0.1717979694
66	0.17168894
67	0.1715716356
68	0.171488543
69	0.1713969232
70	0.1713378974
71	0.1712907618
72	0.1712441095
73	0.1711759649
74	0.1711133729
75	0.1710536957
76	0.1709568937
77	0.1708677086
78	0.1707893366
79	0.1707547747
80	0.1706888608
81	0.170628734
82	0.1705870153
83	0.1705332108
84	0.170473004
85	0.1704250714
86	0.1703631307
87	0.1703003466
88	0.170253165
89	0.1702042464
90	0.1701582419
91	0.170132181
92	0.1700754645
93	0.170035977
94	0.1700015043
95	0.1699549473
96	0.169880274
97	0.1698309815
98	0.1697951996
99	0.1697452136
100	0.1697113271
101	0.1696643035
102	0.1696133593
103	0.169577234
104	0.1695398996
105	0.1695095944
106	0.1694801095
107	0.1694251795
108	0.1693912484
109	0.169348336
110	0.1692924218
111	0.1692446708
112	0.1691963087
113	0.1691521338
114	0.1690908239
115	0.1690553839
116	0.169004545
117	0.16897444
118	0.1689407239
119	0.1689009129
