iter	Passed	Remaining
0	32	3923
1	49	2909
2	68	2669
3	84	2462
4	103	2378
5	119	2268
6	137	2225
7	154	2169
8	172	2129
9	188	2074
10	206	2045
11	221	1996
12	241	1989
13	257	1946
14	276	1933
15	292	1900
16	311	1889
17	327	1857
18	346	1841
19	362	1812
20	380	1794
21	396	1764
22	415	1751
23	444	1777
24	463	1760
25	479	1733
26	498	1716
27	513	1687
28	539	1693
29	554	1664
30	573	1646
31	588	1619
32	607	1600
33	631	1597
34	648	1574
35	665	1551
36	682	1529
37	698	1506
38	714	1484
39	730	1460
40	748	1442
41	762	1416
42	780	1396
43	794	1372
44	812	1354
45	827	1331
46	845	1312
47	860	1290
48	878	1273
49	893	1250
50	911	1232
51	927	1212
52	945	1195
53	960	1173
54	978	1156
55	994	1136
56	1011	1117
57	1025	1096
58	1044	1079
59	1060	1060
60	1078	1043
61	1093	1022
62	1111	1005
63	1125	984
64	1142	966
65	1157	946
66	1185	937
67	1217	931
68	1235	913
69	1251	893
70	1270	876
71	1284	856
72	1308	842
73	1324	823
74	1356	814
75	1372	794
76	1391	776
77	1405	757
78	1422	738
79	1437	718
80	1455	700
81	1470	681
82	1495	666
83	1511	647
84	1530	630
85	1546	611
86	1563	593
87	1579	574
88	1597	556
89	1613	537
90	1631	519
91	1646	501
92	1664	483
93	1680	464
94	1697	446
95	1713	428
96	1731	410
97	1746	392
98	1770	375
99	1786	357
100	1805	339
101	1821	321
102	1838	303
103	1855	285
104	1872	267
105	1887	249
106	1905	231
107	1922	213
108	1938	195
109	1953	177
110	1972	159
111	1988	142
112	2007	124
113	2023	106
114	2042	88
115	2058	70
116	2077	53
117	2094	35
118	2124	17
119	2141	0
