symbol,days,avg_close,std_close,min_close,max_close,total_return_%,ann_volatility_%,sharpe_ratio,max_drawdown_%,positive_day_%,avg_daily_range_%,avg_volume,med_volume,start,end
ABB,2323,2934.59,2224.34,725.95,9031.0,570.8,32.1,0.64,-52.4,50.3,3.05,233879,164621,2016-10-03,2026-06-17
ABCAPITAL,2176,155.97,75.23,40.05,372.8,56.9,37.9,0.14,-83.1,47.7,3.39,4118310,2936723,2017-09-01,2026-06-17
ABFRL,2365,76.92,20.58,35.57,130.5,21.2,37.2,0.06,-64.1,46.9,3.72,6636361,4136905,2016-10-03,2026-06-19
ADANIENSOL,2287,822.4,788.9,39.25,4105.4,3697.5,53.9,0.74,-85.4,49.3,4.51,1427771,720961,2016-10-03,2026-06-17
ADANIENT,2402,1341.99,1186.18,37.4,4038.2,7143.6,50.9,0.88,-71.3,53.1,4.08,5875189,3400467,2016-10-03,2026-06-16
ADANIGREEN,1979,1005.86,691.72,25.2,2970.5,4559.0,54.4,0.9,-84.4,49.7,4.4,2094646,1107250,2018-06-18,2026-06-17
ADANIPORTS,2402,740.36,420.64,207.8,1826.0,588.5,37.1,0.55,-53.7,51.1,3.05,5449946,3456597,2016-10-03,2026-06-16
ADANIPOWER,2343,51.13,54.51,3.09,249.43,4189.7,54.6,0.74,-67.8,47.0,4.43,63908248,37386655,2016-10-03,2026-06-17
ALKEM,2403,3297.26,1361.53,1546.1,6363.0,218.2,25.2,0.48,-28.7,49.6,2.74,127477,84405,2016-10-03,2026-06-17
AMBUJACEM,2364,365.04,146.49,139.35,695.0,63.6,32.6,0.16,-51.7,52.7,2.86,4444623,2956810,2016-10-03,2026-06-17
APLAPOLLO,2405,1108.03,633.87,106.73,2528.8,115.3,143.9,0.06,-95.8,50.0,3.66,468667,356620,2016-10-03,2026-06-17
APOLLOHOSP,2402,3690.42,2372.39,927.1,8530.0,525.5,30.9,0.62,-39.5,50.0,2.78,632363,449207,2016-10-03,2026-06-16
ASHOKLEY,2403,74.69,37.16,17.23,211.86,284.0,39.1,0.36,-79.2,50.3,3.23,35528383,25264016,2016-10-03,2026-06-17
ASIANPAINT,2403,2233.41,797.64,865.55,3576.3,130.5,24.6,0.36,-40.7,50.0,2.16,1329611,1047119,2016-10-03,2026-06-16
ASTRAL,2404,1211.07,520.01,303.64,2429.0,348.8,36.4,0.43,-49.0,50.8,3.29,397152,289080,2016-10-03,2026-06-17
ATGL,1813,936.2,910.77,75.6,3918.9,864.8,56.2,0.56,-88.0,47.6,4.18,1826145,720189,2018-11-05,2026-06-19
AUBANK,2215,570.72,186.74,190.08,1068.0,90.7,44.4,0.17,-73.8,50.8,3.37,1632991,1115882,2017-07-10,2026-06-17
AUROPHARMA,2403,825.55,274.31,294.7,1568.05,63.1,35.6,0.14,-66.1,48.8,3.09,2521179,1830043,2016-10-03,2026-06-17
AXISBANK,2401,799.37,264.32,303.15,1402.5,147.5,32.5,0.29,-63.2,50.5,2.55,11313214,8300507,2016-10-03,2026-06-16
BAJAJ-AUTO,2402,4820.38,2615.41,1935.55,12650.0,245.2,25.5,0.51,-43.3,51.6,2.29,478596,371554,2016-10-03,2026-06-16
BAJAJFINSV,2404,3327.32,2414.15,542.57,9894.25,-44.1,81.6,-0.07,-94.5,50.5,2.72,839205,475299,2016-10-03,2026-06-16
BAJAJHLDNG,2284,5768.63,3473.89,1525.95,14650.0,441.4,33.5,0.56,-60.9,51.7,2.95,55033,32083,2016-10-03,2026-06-17
