Date,Rank,Symbol,DailyRet%,Gap%,DayRange%,Close,Volume
2026-05-06,1,DELTACORP,12.05,3.34,18.51,78.92,32327597
2026-05-06,2,FSL,11.33,1.59,13.19,243.41,24452747
2026-05-06,3,HFCL,9.85,0.1,11.61,141.46,167554753
2026-05-06,4,COFORGE,9.55,7.91,4.18,1280.4,26656460
2026-05-06,5,ECLERX,9.16,0.84,9.39,1581.5,722545
2026-05-06,6,AJANTPHARM,6.86,2.09,6.56,3096.3,758180
2026-05-06,7,HINDPETRO,6.77,1.36,6.69,399.2,12641387
2026-05-06,8,INDIGO,6.65,1.93,5.9,4520.2,2657960
2026-05-06,9,INDOCO,6.23,1.46,6.46,228.68,138667
2026-05-06,10,CAPLIPOINT,5.73,0.66,5.56,1841.3,253677
2026-05-06,11,KNRCON,5.6,0.88,6.09,132.37,4241060
2026-05-06,12,GULFOILLUB,5.51,0.12,5.76,1011.7,90798
2026-05-06,13,BPCL,5.21,2.08,4.94,314.05,16983058
2026-05-06,14,BASF,5.03,1.83,5.39,3802.8,49901
2026-05-06,15,BALMLAWRIE,5.01,3.25,3.58,196.28,724214
2026-05-06,16,GRINDWELL,4.8,0.31,4.87,1647.6,49335
2026-05-06,17,ASHOKLEY,4.71,2.03,5.37,167.8,22189983
2026-05-06,18,EDELWEISS,4.66,1.46,5.19,120.08,6710176
2026-05-06,19,DCMSHRIRAM,4.55,1.27,7.12,1301.8,254727
2026-05-06,20,IFCI,4.52,2.43,6.95,61.09,46841098
2026-05-06,21,IOC,4.27,0.96,3.89,148.21,16440452
2026-05-06,22,LUPIN,4.25,0.81,4.63,2442.9,2886186
2026-05-06,23,JINDALSAW,3.97,0.57,3.82,242.24,3184921
2026-05-06,24,INDUSINDBK,3.96,1.07,3.49,946.75,2901974
2026-05-06,25,AUROPHARMA,3.91,0.2,4.45,1484.0,2420846
2026-05-06,26,GODREJIND,3.86,1.08,4.06,1022.4,171554
2026-05-06,27,HINDZINC,3.82,1.43,3.6,634.6,10151710
2026-05-06,28,KANSAINER,3.76,0.47,5.04,201.43,863978
