date,year,month,symbols,n_stocks,avg_return,avg_range,cumul_pnl
2021-01-01,2021,1,"BHEL, CANBK, MAZDOCK, NATIONALUM, APLAPOLLO, ADANIPOWER, IDBI",7,2.02,3.98,102.02
2021-01-04,2021,1,"CHOLAFIN, ASHOKLEY, VEDL, BHEL, CANBK, JINDALSTEL, ADANIPOWER",7,-0.57,2.66,101.43848600000001
2021-01-05,2021,1,"POLYCAB, HUDCO, DMART, TATAPOWER, BHEL, FEDERALBNK, MOTHERSUMI",7,0.12,5.4,101.56021218320002
2021-01-06,2021,1,"VEDL, HINDZINC, IDFCFIRSTB, HUDCO, BHEL, CANBK, DMART",7,3.87,6.53,105.49059239468986
2021-01-07,2021,1,"IDFCFIRSTB, HINDZINC, BHARATFORG, ASHOKLEY, POLYCAB, FEDERALBNK, HUDCO",7,-0.75,4.71,104.69941295172968
2021-01-08,2021,1,"FORTIS, IDFCFIRSTB, POLYCAB, PIIND, VEDL, HINDZINC, HUDCO",7,-1.78,4.51,102.8357634011889
2021-01-11,2021,1,"ASHOKLEY, FORTIS, ADANIGREEN, ADANIPOWER, VBL, CANBK, IDFCFIRSTB",7,1.21,7.03,104.08007613834329
2021-01-12,2021,1,"IDFCFIRSTB, ADANIGREEN, JSWENERGY, BANKBARODA, CANBK, DLF, ASHOKLEY",7,1.37,6.82,105.50597318143859
2021-01-13,2021,1,"BANKBARODA, FORTIS, HUDCO, CANBK, DLF, JSWENERGY, VBL",7,-0.33,4.11,105.15780346993986
2021-01-14,2021,1,"FORTIS, IDFCFIRSTB, PNB, BANKBARODA, JSWENERGY, HUDCO, NATIONALUM",7,-0.39,5.77,104.74768803640708
2021-01-15,2021,1,"IDFCFIRSTB, JSWENERGY, CANBK, TATAPOWER, BANKBARODA, ADANIGREEN, PNB",7,-3.14,6.07,101.4586106320639
2021-01-18,2021,1,"ADANIENSOL, BANKBARODA, GODREJPROP, CANBK, IDFCFIRSTB, JINDALSTEL, JSWENERGY",7,4.87,4.76,106.3996449698454
2021-01-19,2021,1,"IDFCFIRSTB, HINDZINC, DLF, FEDERALBNK, CANBK, BANKBARODA, CHOLAFIN",7,2.37,5.47,108.92131655563074
2021-01-20,2021,1,"ADANIENSOL, IDFCFIRSTB, JSWENERGY, HINDZINC, BANKBARODA, FEDERALBNK, CANBK",7,-2.51,6.5,106.18739151008441
2021-01-21,2021,1,"BANKBARODA, HINDZINC, ADANIENSOL, JSWENERGY, DLF, CANBK, IDFCFIRSTB",7,-1.86,5.23,104.21230602799685
2021-01-22,2021,1,"BIOCON, JINDALSTEL, BANKBARODA, DLF, ADANIENSOL, DIXON, NMDC",7,-2.25,4.84,101.86752914236692
2021-01-25,2021,1,NMDC,1,-2.97,4.63,98.84206352683863
2021-01-27,2021,1,"INDUSINDBK, BIOCON, HINDZINC, CHOLAFIN, BANKBARODA, IDBI, JSWENERGY",7,-1.56,4.98,97.30012733581995
2021-01-28,2021,1,"HINDZINC, BANKBARODA, ABCAPITAL, CGPOWER, BHARATFORG, VBL, POLYCAB",7,1.75,4.34,99.00287956419682
2021-01-29,2021,1,"CHOLAFIN, JINDALSTEL, ASHOKLEY, JSWENERGY, TVSMOTOR, PIIND, CUMMINSIND, JUBLFOOD",8,4.77,7.9,103.72531691940901
2021-02-01,2021,2,"CUMMINSIND, ASHOKLEY, IDBI, INDUSINDBK, DLF, ADANIENSOL, FSL, CHOLAFIN",8,2.43,7.35,106.24584212055063
2021-02-02,2021,2,"ASHOKLEY, IDBI, TVSMOTOR, CANBK, DLF, SIEMENS, CUMMINSIND, BANKBARODA",8,1.3,5.05,107.62703806811777
2021-02-03,2021,2,"INDUSINDBK, CANBK, ASTRAL, PNB, BANKBARODA, TVSMOTOR, CHOLAFIN, ADANIENSOL",8,3.45,5.89,111.34017088146784
2021-02-04,2021,2,"CANBK, DLF, BHEL, BANKBARODA, BANKINDIA, ASTRAL, IDBI, PNB",8,0.12,7.75,111.47377908652561
2021-02-05,2021,2,"IDBI, BANKBARODA, BHEL, BANKINDIA, CANBK, PNB, JINDALSTEL, DLF",8,-1.88,5.03,109.37807203969892
